DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
15.01.2018;21.01.2018;NEG_NT;55;31,06;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;55;1300;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;55;1300;Netz an Anbieter;142;142;;
15.01.2018;21.01.2018;NEG_NT;55;1300;Netz an Anbieter;42;42;;
15.01.2018;21.01.2018;NEG_NT;55;300;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;55;1300;Netz an Anbieter;57;57;;
15.01.2018;21.01.2018;NEG_NT;55;380;Netz an Anbieter;12;12;;
15.01.2018;21.01.2018;NEG_NT;55;149;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_NT;55,96;33,95;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;56;98;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_NT;56,5;36,21;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;56,6;20;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;57;980;Netz an Anbieter;16;16;;
15.01.2018;21.01.2018;NEG_NT;57;1045;Netz an Anbieter;9;9;;
15.01.2018;21.01.2018;NEG_NT;57,61;38,91;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;58;135;Netz an Anbieter;7;7;;
15.01.2018;21.01.2018;NEG_NT;58,64;41,9;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;58,9;1289;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;58,9;1289;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_NT;58,9;1289;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_NT;59,55;868,81;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;59,86;1778,97;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;59,9;4999;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;59,9;4999;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;60;184;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;60,45;820,24;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;61,2;20;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;61,36;682,27;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;62;271;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;62,27;771,36;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;63;900;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;63,18;44,32;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;64,09;741;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;64,45;1044;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_NT;64,85;1044;Netz an Anbieter;7;7;;
15.01.2018;21.01.2018;NEG_NT;65;896,45;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;65;960,13;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;65,25;1044;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;65,8;100;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;66,95;1778,97;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;67;45,1;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;67,24;1044;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;67,53;1044;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;67,82;1044;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_NT;68;298;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;68;2018,03;Netz an Anbieter;7;7;;
15.01.2018;21.01.2018;NEG_NT;68;850;Netz an Anbieter;40;40;;
15.01.2018;21.01.2018;NEG_NT;68,11;1044;Netz an Anbieter;13;13;;
15.01.2018;21.01.2018;NEG_NT;68,75;5997;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;68,99;5997;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;69;999,89;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;69;900;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_NT;69,23;5997;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;69,47;5997;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;69,71;5997;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;69,95;5997;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;70;5800;Netz an Anbieter;9;9;;
15.01.2018;21.01.2018;NEG_NT;70,19;5997;Netz an Anbieter;10;10;;
